model,arm,phase3_type,image_idx,y_true,k_corr,phase1_l2,phase1_queries,winning_corruption,best_l2,final_l2,IR_phase3,n_gens,queries_phase3,p1_jpeg,p1_blur,p1_brightness,p1_contrast,p1_inversion,p1_hue_shift,p1_posterize,p1_fractal_random,p1_low_freq_rand
robust,C_full,pixel,157,2,5,2.2213943802525398,242,contrast,2.2213943802525398,2.2914893568398877,0.0,6,1284,3.1228600673268208,2.811469875446988,9.772407319560891,2.2213943802525398,,,16.713564776149326,,
robust,E_rand,random_sub,157,2,5,2.2213943802525398,242,contrast,2.2205607145894475,2.2213336881080537,0.0003752893545168289,15,1261,3.1228600673268208,2.811469875446988,9.772407319560891,2.2213943802525398,,,16.713564776149326,,
robust,E_corr,corrupt_sub,157,2,5,2.2213943802525398,242,contrast,1.2938244264791148,1.3168684666848758,0.4175620331172234,20,1272,3.1228600673268208,2.811469875446988,9.772407319560891,2.2213943802525398,,,16.713564776149326,,
standard,C_full,pixel,158,3,6,1.878195756376552,256,jpeg,1.6698503711240156,1.670035534173248,0.11092847193653546,6,1270,1.878195756376552,,,14.151371302626016,14.151381730484262,,4.413781690634488,2.1404638037607264,6.34740792910765
standard,E_rand,random_sub,158,3,6,1.878195756376552,256,jpeg,1.876619700514953,1.883489836509477,0.0008391329052087087,12,1270,1.878195756376552,,,14.151371302626016,14.151381730484262,,4.413781690634488,2.1404638037607264,6.34740792910765
standard,E_corr,corrupt_sub,158,3,6,1.878195756376552,256,jpeg,1.6120063718673174,1.6205848941514902,0.14172611326881693,15,1268,1.878195756376552,,,14.151371302626016,14.151381730484262,,4.413781690634488,2.1404638037607264,6.34740792910765
robust,C_full,pixel,158,3,7,3.9624226487356577,310,blur,3.9624226487356577,3.9764748042048974,0.0,2,1216,4.5588700978839105,3.9624226487356577,,8.771457732927097,,9.977967164405078,9.40089935530932,5.90280360685854,8.215840079569228
robust,E_rand,random_sub,158,3,7,3.9624226487356577,310,blur,3.9562229514378164,3.956227582710571,0.001564622920732479,18,1198,4.5588700978839105,3.9624226487356577,,8.771457732927097,,9.977967164405078,9.40089935530932,5.90280360685854,8.215840079569228
robust,E_corr,corrupt_sub,158,3,7,3.9624226487356577,310,blur,3.5298686759691984,3.5685010839819533,0.10916401684320072,17,1212,4.5588700978839105,3.9624226487356577,,8.771457732927097,,9.977967164405078,9.40089935530932,5.90280360685854,8.215840079569228
standard,C_full,pixel,159,3,5,1.2225281538348114,208,low_freq_rand,1.0154935381098986,1.0215638255108188,0.1693495688221896,3,1318,1.7446719113957339,,,10.039503865574478,,,3.432051329408266,2.004380954114727,1.2225281538348114
standard,E_rand,random_sub,159,3,5,1.2225281538348114,208,low_freq_rand,1.2215176272970574,1.2215176272970574,0.0008265875387689128,23,1305,1.7446719113957339,,,10.039503865574478,,,3.432051329408266,2.004380954114727,1.2225281538348114
standard,E_corr,corrupt_sub,159,3,5,1.2225281538348114,208,low_freq_rand,0.8399212073729557,0.8448737783516483,0.31296370988406186,17,1310,1.7446719113957339,,,10.039503865574478,,,3.432051329408266,2.004380954114727,1.2225281538348114
robust,C_full,pixel,159,3,4,4.183808091123592,194,blur,3.579506744254138,3.61585841234312,0.14443811324700712,13,1333,,4.183808091123592,,4.212516131780021,,,,4.369549940026004,6.49423583146757
robust,E_rand,random_sub,159,3,4,4.183808091123592,194,blur,4.183248161969759,4.198619972062123,0.00013383241813144157,15,1331,,4.183808091123592,,4.212516131780021,,,,4.369549940026004,6.49423583146757
robust,E_corr,corrupt_sub,159,3,4,4.183808091123592,194,blur,3.2993989485880086,3.3950334663444948,0.21138855398553164,18,1332,,4.183808091123592,,4.212516131780021,,,,4.369549940026004,6.49423583146757
standard,C_full,pixel,160,4,9,0.3419370873407896,388,hue_shift,0.2732881161658145,0.2732881161658145,0.20076491763105095,16,1121,0.4187569297398858,2.448677518189641,4.648996240805331,3.651045976208047,3.6501873170133696,0.3419370873407896,1.0051636483028232,0.407280000875592,0.6296107893588723
standard,E_rand,random_sub,160,4,9,0.3419370873407896,388,hue_shift,0.34153458676507154,0.34153458677732074,0.0011771188052406459,17,1123,0.4187569297398858,2.448677518189641,4.648996240805331,3.651045976208047,3.6501873170133696,0.3419370873407896,1.0051636483028232,0.407280000875592,0.6296107893588723
