model,arm,image_idx,y_true,k_total,phase1_l2,phase1_queries,winning_corruption,best_l2,final_l2,IR_phase3,n_gens,queries_phase3,p1_jpeg,p1_blur,p1_brightness,p1_contrast,p1_inversion,p1_hue_shift,p1_posterize,p1_fractal_random,p1_sharpen,p1_saturation,p1_gamma
robust,E_full_k14_lam28,115,4,14,8.414279030740609,269,fractal_random,7.65748004419973,7.65748004419973,0.08994222603933151,3,1257,,,11.83212478123215,10.41786280879972,10.417800610999686,,11.11065171098965,8.414279030740609,14.604388462952897,,
standard,E_sep_k14,116,1,14,2.6528386048592605,260,jpeg,2.6133958639189014,2.751189672809509,0.014868126869124622,14,1261,2.6528386048592605,4.8467798229458445,23.897814081417646,16.042656419487553,,,12.82186068095571,4.231352766853572,,,
standard,E_full_k14,116,1,14,2.6528386048592605,260,jpeg,2.6454154854643597,2.7601989578951236,0.0027981797992926247,12,1250,2.6528386048592605,4.8467798229458445,23.897814081417646,16.042656419487553,,,12.82186068095571,4.231352766853572,,,
standard,E_full_k14_lam28,116,1,14,2.6528386048592605,260,jpeg,2.6512672213707,2.9209608303942183,0.0005923404030996599,11,1267,2.6528386048592605,4.8467798229458445,23.897814081417646,16.042656419487553,,,12.82186068095571,4.231352766853572,,,
robust,E_sep_k14,116,1,14,6.90612263236469,246,blur,6.4867113744865375,6.530384836281456,0.06073035192173301,18,1281,7.412888404397927,6.90612263236469,14.847118698000868,11.390173647471405,,,,8.126002361730588,,,
robust,E_full_k14,116,1,14,6.90612263236469,246,blur,6.645114490177182,6.800716580642568,0.03779373116896679,16,1259,7.412888404397927,6.90612263236469,14.847118698000868,11.390173647471405,,,,8.126002361730588,,,
robust,E_full_k14_lam28,116,1,14,6.90612263236469,246,blur,6.5747469129611105,6.649208040597496,0.047982889537846955,15,1262,7.412888404397927,6.90612263236469,14.847118698000868,11.390173647471405,,,,8.126002361730588,,,
standard,E_sep_k14,117,8,14,2.900909921230105,403,blur,2.815548655637792,2.895065000166433,0.029425686391570595,13,1111,4.516243605798412,2.900909921230105,27.442666900253503,11.787016291195608,11.787030003572363,,10.998940510808362,6.577319857272757,12.995690689905528,,22.660934984485085
standard,E_full_k14,117,8,14,2.900909921230105,403,blur,2.786908254413648,2.804535466248905,0.03929858903309751,13,1100,4.516243605798412,2.900909921230105,27.442666900253503,11.787016291195608,11.787030003572363,,10.998940510808362,6.577319857272757,12.995690689905528,,22.660934984485085
standard,E_full_k14_lam28,117,8,14,2.900909921230105,403,blur,2.637637092245706,2.672559755073563,0.09075525822351649,12,1116,4.516243605798412,2.900909921230105,27.442666900253503,11.787016291195608,11.787030003572363,,10.998940510808362,6.577319857272757,12.995690689905528,,22.660934984485085
