model,arm,phase1_type,phase3_cfg,image_idx,y_true,phase1_l2_uniform,phase1_l2,phase1_queries,winning_corruption,jpeg_l2,blur_l2,fractal_l2,best_l2,final_l2,IR_phase3,IR_total,n_gens,queries_phase3
robust,B,uniform,lam14_xi0.75_tau3,122,7,7.2714171879927765,7.2714171879927765,27,,,,,7.218769732560895,7.218769732560895,0.00724032937056866,0.00724032937056866,11,1499
robust,C,corruption,lam28_xi1.0_tau3,122,7,7.2714171879927765,6.04074380738945,142,blur,6.941650678127733,6.04074380738945,7.295753755274584,6.04074380738945,6.064927676111812,0.0,0.16924807761484592,4,1384
robust,D,corruption,lam14_xi0.75_tau3,122,7,7.2714171879927765,6.04074380738945,142,blur,6.941650678127733,6.04074380738945,7.295753755274584,6.04074380738945,6.052717952804276,0.0,0.16924807761484592,3,1384
standard,A,uniform,lam28_xi1.0_tau3,123,2,7.9728599279876295,7.9728599279876295,29,,,,,2.623255767568278,2.6424837146885105,0.6709768149369214,0.6709768149369214,24,1498
standard,B,uniform,lam14_xi0.75_tau3,123,2,7.9728599279876295,7.9728599279876295,29,,,,,2.0253239094907842,2.026269881659586,0.7459727214846503,0.7459727214846503,3,1497
standard,C,corruption,lam28_xi1.0_tau3,123,2,7.9728599279876295,1.6293139915250126,140,jpeg,1.6293139915250126,3.1020789133104882,4.62174925525188,1.42215354516397,1.42215354516397,0.12714580948706125,0.8216256703354721,17,1378
standard,D,corruption,lam14_xi0.75_tau3,123,2,7.9728599279876295,1.6293139915250126,140,jpeg,1.6293139915250126,3.1020789133104882,4.62174925525188,1.4082240206125483,1.4082554584971028,0.1356951281720275,0.8233727880168605,19,1386
robust,C,corruption,lam28_xi1.0_tau3,123,2,,3.651222170549992,95,blur,,3.651222170549992,6.375172817666013,3.646304565074433,3.6541337970382672,0.0013468381944061639,,15,1431
robust,D,corruption,lam14_xi0.75_tau3,123,2,,3.651222170549992,95,blur,,3.651222170549992,6.375172817666013,3.641420893594701,3.6474883870222734,0.0026843825156261866,,21,1432
standard,A,uniform,lam28_xi1.0_tau3,124,6,15.823595364592972,15.823595364592972,27,,,,,3.6647403086796118,3.6647403086796118,0.7684002766602671,0.7684002766602671,21,1498
standard,B,uniform,lam14_xi0.75_tau3,124,6,15.823595364592972,15.823595364592972,27,,,,,12.292231376610056,12.316991127091068,0.2231707716619656,0.2231707716619656,3,1499
standard,C,corruption,lam28_xi1.0_tau3,124,6,15.823595364592972,1.2943285817323285,137,blur,1.7903139543761246,1.2943285817323285,3.4394424021335204,1.1726749757901254,1.1726749757901254,0.0939897392819542,0.9258907379283653,21,1378
standard,D,corruption,lam14_xi0.75_tau3,124,6,15.823595364592972,1.2943285817323285,137,blur,1.7903139543761246,1.2943285817323285,3.4394424021335204,0.8979134297067715,0.8979134297067715,0.30627087867826824,0.9432547781324115,28,1378
robust,A,uniform,lam28_xi1.0_tau3,124,6,6.318770543361699,6.318770543361699,27,,,,,6.258710934439125,6.293890459843026,0.009504951716544158,0.009504951716544158,13,1495
robust,B,uniform,lam14_xi0.75_tau3,124,6,6.318770543361699,6.318770543361699,27,,,,,6.248259082845722,6.2490425141739445,0.011159047481167713,0.011159047481167713,7,1499
robust,C,corruption,lam28_xi1.0_tau3,124,6,6.318770543361699,2.618426109459216,142,blur,3.2467013220825436,2.618426109459216,7.399972718747301,2.617246197755938,2.6320857256762245,0.00045061867471276105,0.5857981897276624,20,1385
robust,D,corruption,lam14_xi0.75_tau3,124,6,6.318770543361699,2.618426109459216,142,blur,3.2467013220825436,2.618426109459216,7.399972718747301,2.6099199146181626,2.6099199146181626,0.00324859075088049,0.5869576372954289,24,1384
standard,A,uniform,lam28_xi1.0_tau3,125,5,3.223903952732419,3.223903952732419,27,,,,,3.0338479108580314,3.038054996039502,0.05895214145983033,0.05895214145983033,3,1499
standard,B,uniform,lam14_xi0.75_tau3,125,5,3.223903952732419,3.223903952732419,27,,,,,2.427882651133928,2.427882651133928,0.2469122260679706,0.2469122260679706,13,1499
